,ID,text,favoriteCount,retweetCount,createdAt
0,1367494848505384965,"RT @POTUS: The fight against cancer is personal for me, like it is for so many Americans. And I’m committed to doing everything I can as pr…",0,3219,2021-03-04 15:19:13
1,1367482915765039109,"Last night, the House voted to pass H.R. 1. @POTUS and I look forward to working with Congress to strengthen our de… https://t.co/CdbV2dZveD",15188,1840,2021-03-04 14:31:48
2,1367266314948116483,"This afternoon, I swore in Gina Raimondo as Secretary of Commerce. A committed public servant, @SecRaimondo will he… https://t.co/od2ZEq9pgp",15187,1559,2021-03-04 00:11:06
3,1367209538005401611,"I enjoyed visiting Danielle and her team today. Danielle owns Fibre Space, an innovative small business. Like many… https://t.co/0D3Kjd5NhA",15792,1774,2021-03-03 20:25:30
4,1367206249666916361,"RT @POTUS: On February 15, my Administration opened a special enrollment period for health insurance and more than 200,000 Americans have a…",0,4498,2021-03-03 20:12:26
5,1366936585720242177,"Today I spoke with Prime Minister @ScottMorrisonMP of Australia, our close ally. We discussed regional and global c… https://t.co/WkB1llUGyU",17284,1679,2021-03-03 02:20:53
6,1366903129489502210,"Congratulations to our new Secretary of Education, Dr. Miguel Cardona. A career educator, @SecCardona understands f… https://t.co/PNgtNQZhuX",22645,2273,2021-03-03 00:07:56
7,1366883478348906501,"My heart goes out to the family of my friend and fellow Howard alum Vernon Jordan. A civil rights leader, Vernon pa… https://t.co/dt9fIFS9AR",27509,2380,2021-03-02 22:49:51
8,1366866135858167812,"RT @POTUS: Three weeks ago, I announced we would have enough vaccine supply for all Americans by the end of July.

Now, with our efforts to…",0,25949,2021-03-02 21:40:56
9,1366857091965726722,"On this day, in 1867, my alma mater @HowardU was chartered. For generations, Howard has helped shape the minds of o… https://t.co/obSejANcwo",10921,1239,2021-03-02 21:05:00
10,1366765238645841920,About 2.5 million women have been forced out of the workforce during the pandemic. The American Rescue Plan provide… https://t.co/ld66fDyZyP,37989,5102,2021-03-02 15:00:00
11,1366538744254324736,"Women make history every day. Some we know—the Suffragettes, the Riveters. The stories of others—especially women o… https://t.co/Anz768uNsb",43651,5469,2021-03-02 00:00:00
12,1366485797097123840,"There is dignity in all work. And when people can join together in unions, free from interference, every worker is… https://t.co/Y11ZnUQCVL",38234,4635,2021-03-01 20:29:36
13,1366419166815801347,"We’re making progress to beat this virus:

- More than 50 million shots in arms
- Weekly vaccine shipments of 14.5… https://t.co/qERB9k2fAL",27961,3407,2021-03-01 16:04:50
14,1366154127424835585,Putting in the work. Ready to take on the week ahead. https://t.co/xKoVZ3Sfbe,100057,6654,2021-02-28 22:31:40
15,1366118651728965632,"RT @WHCOVIDResponse: There’s now a third safe COVID-19 vaccine, so we asked Dr. Fauci to walk us through the newly-authorized Johnson &amp; Joh…",0,3872,2021-02-28 20:10:42
16,1365876306831900672,"RT @POTUS: After a rigorous scientific review process, the FDA issued an emergency use authorization for a third safe and effective COVID-1…",0,3824,2021-02-28 04:07:42
17,1365738473353666564,I spoke with @NASA Astronaut and @USNavy Commander Victor J. Glover aboard the International Space Station.… https://t.co/M1ARc0gDXU,22861,3955,2021-02-27 19:00:00
18,1365713938265047042,The House has voted to pass the American Rescue Plan. This is a critical step towards getting relief to those who n… https://t.co/zCfnWYtEg0,59158,6691,2021-02-27 17:22:31
19,1365487962700578822,"I spoke with President Tshisekedi of the Democratic Republic of the Congo about good governance and reforms, COVID-… https://t.co/hFpx8qUWNZ",23283,2605,2021-02-27 02:24:34
