,Unnamed: 0,ID,text,favoriteCount,retweetCount,createdAt,tweetPunct,tweetToken,tweetLemmas
0,0,1354582563164139520,"Congratulations to our new Secretary of State, Antony Blinken. @SecBlinken will revitalize American diplomacy, adva… https://t.co/LRXL71Tdwt",51995,4115,2021-01-28 00:10:24,congratulations to our new secretary of state antony blinken secblinken will revitalize american diplomacy adva… httpstcolrxltdwt,"['congratulations', 'to', 'our', 'new', 'secretary', 'of', 'state', 'antony', 'blinken', 'secblinken', 'will', 'revitalize', 'american', 'diplomacy', 'adva…', 'httpstcolrxltdwt']","['congratulation', 'to', 'our', 'new', 'secretary', 'of', 'state', 'antony', 'blinken', 'secblinken', 'will', 'revitalize', 'american', 'diplomacy', 'adva…', 'httpstcolrxltdwt']"
1,1,1354557611748765697,"Across the world, climate change poses an existential threat not only to our environment – but to our health, our c… https://t.co/Cjaq4AMcxL",10941,1378,2021-01-27 22:31:15,across the world climate change poses an existential threat not only to our environment – but to our health our c… httpstcocjaqamcxl,"['across', 'the', 'world', 'climate', 'change', 'poses', 'an', 'existential', 'threat', 'not', 'only', 'to', 'our', 'environment', '–', 'but', 'to', 'our', 'health', 'our', 'c…', 'httpstcocjaqamcxl']","['across', 'the', 'world', 'climate', 'change', 'pose', 'an', 'existential', 'threat', 'not', 'only', 'to', 'our', 'environment', '–', 'but', 'to', 'our', 'health', 'our', 'c…', 'httpstcocjaqamcxl']"
2,2,1354510467918667784,"One week on the job: we took action on COVID, the economy, the climate crisis, racial injustice – and more.

The wo… https://t.co/BXufQiq7Tq",58543,4583,2021-01-27 19:23:55,"one week on the job we took action on covid the economy the climate crisis racial injustice – and more

the wo… httpstcobxufqiqtq","['one', 'week', 'on', 'the', 'job', 'we', 'took', 'action', 'on', 'covid', 'the', 'economy', 'the', 'climate', 'crisis', 'racial', 'injustice', '–', 'and', 'more', '', 'the', 'wo…', 'httpstcobxufqiqtq']","['one', 'week', 'on', 'the', 'job', 'we', 'took', 'action', 'on', 'covid', 'the', 'economy', 'the', 'climate', 'crisis', 'racial', 'injustice', '–', 'and', 'more', '', 'the', 'wo…', 'httpstcobxufqiqtq']"
3,3,1354489791623159810,"RT @POTUS: We have no time to waste when it comes to tackling the threat of climate change. That’s why today, I’ll be taking action to addr…",0,10846,2021-01-27 18:01:46,rt potus we have no time to waste when it comes to tackling the threat of climate change that’s why today i’ll be taking action to addr…,"['rt', 'potus', 'we', 'have', 'no', 'time', 'to', 'waste', 'when', 'it', 'comes', 'to', 'tackling', 'the', 'threat', 'of', 'climate', 'change', 'that’s', 'why', 'today', 'i’ll', 'be', 'taking', 'action', 'to', 'addr…']","['rt', 'potus', 'we', 'have', 'no', 'time', 'to', 'waste', 'when', 'it', 'come', 'to', 'tackling', 'the', 'threat', 'of', 'climate', 'change', 'that’s', 'why', 'today', 'i’ll', 'be', 'taking', 'action', 'to', 'addr…']"
4,4,1354486618518937609,President Biden and I will continue to stand up to hatred in all forms and do everything we can to prevent future g… https://t.co/xlHCPGWwxi,11215,997,2021-01-27 17:49:09,president biden and i will continue to stand up to hatred in all forms and do everything we can to prevent future g… httpstcoxlhcpgwwxi,"['president', 'biden', 'and', 'i', 'will', 'continue', 'to', 'stand', 'up', 'to', 'hatred', 'in', 'all', 'forms', 'and', 'do', 'everything', 'we', 'can', 'to', 'prevent', 'future', 'g…', 'httpstcoxlhcpgwwxi']","['president', 'biden', 'and', 'i', 'will', 'continue', 'to', 'stand', 'up', 'to', 'hatred', 'in', 'all', 'form', 'and', 'do', 'everything', 'we', 'can', 'to', 'prevent', 'future', 'g…', 'httpstcoxlhcpgwwxi']"
5,5,1354486616514039811,"When Douglas and I visited Yad Vashem in Israel a few years ago, it was a powerful reminder of what happens when we… https://t.co/RNjqAm9U0P",10136,843,2021-01-27 17:49:09,when douglas and i visited yad vashem in israel a few years ago it was a powerful reminder of what happens when we… httpstcornjqamup,"['when', 'douglas', 'and', 'i', 'visited', 'yad', 'vashem', 'in', 'israel', 'a', 'few', 'years', 'ago', 'it', 'was', 'a', 'powerful', 'reminder', 'of', 'what', 'happens', 'when', 'we…', 'httpstcornjqamup']","['when', 'douglas', 'and', 'i', 'visited', 'yad', 'vashem', 'in', 'israel', 'a', 'few', 'year', 'ago', 'it', 'wa', 'a', 'powerful', 'reminder', 'of', 'what', 'happens', 'when', 'we…', 'httpstcornjqamup']"
6,6,1354486614773391362,"And we pledge to stay vigilant and teach our children, and their children, the truth about the horrors of the Holoc… https://t.co/768XScmi4S",4822,600,2021-01-27 17:49:08,and we pledge to stay vigilant and teach our children and their children the truth about the horrors of the holoc… httpstcoxscmis,"['and', 'we', 'pledge', 'to', 'stay', 'vigilant', 'and', 'teach', 'our', 'children', 'and', 'their', 'children', 'the', 'truth', 'about', 'the', 'horrors', 'of', 'the', 'holoc…', 'httpstcoxscmis']","['and', 'we', 'pledge', 'to', 'stay', 'vigilant', 'and', 'teach', 'our', 'child', 'and', 'their', 'child', 'the', 'truth', 'about', 'the', 'horror', 'of', 'the', 'holoc…', 'httpstcoxscmis']"
7,7,1354486613083107333,"In honoring those whose lives were taken as well as those who survived the Shoah, we reaffirm our commitment to com… https://t.co/RgySjk9F0S",5069,592,2021-01-27 17:49:08,in honoring those whose lives were taken as well as those who survived the shoah we reaffirm our commitment to com… httpstcorgysjkfs,"['in', 'honoring', 'those', 'whose', 'lives', 'were', 'taken', 'as', 'well', 'as', 'those', 'who', 'survived', 'the', 'shoah', 'we', 'reaffirm', 'our', 'commitment', 'to', 'com…', 'httpstcorgysjkfs']","['in', 'honoring', 'those', 'whose', 'life', 'were', 'taken', 'a', 'well', 'a', 'those', 'who', 'survived', 'the', 'shoah', 'we', 'reaffirm', 'our', 'commitment', 'to', 'com…', 'httpstcorgysjkfs']"
8,8,1354486611384401922,"Today—on International Holocaust Remembrance Day—we remember the six million Jews, and the Roma and Sinti, Slavs, d… https://t.co/OADD0YQDBS",38414,6331,2021-01-27 17:49:07,today—on international holocaust remembrance day—we remember the six million jews and the roma and sinti slavs d… httpstcooaddyqdbs,"['today—on', 'international', 'holocaust', 'remembrance', 'day—we', 'remember', 'the', 'six', 'million', 'jews', 'and', 'the', 'roma', 'and', 'sinti', 'slavs', 'd…', 'httpstcooaddyqdbs']","['today—on', 'international', 'holocaust', 'remembrance', 'day—we', 'remember', 'the', 'six', 'million', 'jew', 'and', 'the', 'rom', 'and', 'sinti', 'slav', 'd…', 'httpstcooaddyqdbs']"
9,9,1354261671469051909,"RT @POTUS: The fact is systemic racism touches every facet of American life, and everyone — no matter your race or ethnicity — benefits whe…",0,10477,2021-01-27 02:55:18,rt potus the fact is systemic racism touches every facet of american life and everyone — no matter your race or ethnicity — benefits whe…,"['rt', 'potus', 'the', 'fact', 'is', 'systemic', 'racism', 'touches', 'every', 'facet', 'of', 'american', 'life', 'and', 'everyone', '—', 'no', 'matter', 'your', 'race', 'or', 'ethnicity', '—', 'benefits', 'whe…']","['rt', 'potus', 'the', 'fact', 'is', 'systemic', 'racism', 'touch', 'every', 'facet', 'of', 'american', 'life', 'and', 'everyone', '—', 'no', 'matter', 'your', 'race', 'or', 'ethnicity', '—', 'benefit', 'whe…']"
